source_table,chapter,emission_year,substance,prtp_pct,value_factor,unit
Table 1,2,2020,CO2_CO2eq,0,935,EUR_2025/t
Table 1,2,2020,CO2_CO2eq,1,310,EUR_2025/t
Table 1,2,2020,CH4,0,7770,EUR_2025/t
Table 1,2,2020,CH4,1,4580,EUR_2025/t
Table 1,2,2020,N2O,0,260900,EUR_2025/t
Table 1,2,2020,N2O,1,105700,EUR_2025/t
Table 1,2,2025,CO2_CO2eq,0,990,EUR_2025/t
Table 1,2,2025,CO2_CO2eq,1,345,EUR_2025/t
Table 1,2,2025,CH4,0,9220,EUR_2025/t
Table 1,2,2025,CH4,1,5800,EUR_2025/t
Table 1,2,2025,N2O,0,282300,EUR_2025/t
Table 1,2,2025,N2O,1,118700,EUR_2025/t
Table 1,2,2026,CO2_CO2eq,0,1000,EUR_2025/t
Table 1,2,2026,CO2_CO2eq,1,350,EUR_2025/t
Table 1,2,2026,CH4,0,9510,EUR_2025/t
Table 1,2,2026,CH4,1,6040,EUR_2025/t
Table 1,2,2026,N2O,0,286600,EUR_2025/t
Table 1,2,2026,N2O,1,121300,EUR_2025/t
Table 1,2,2027,CO2_CO2eq,0,1010,EUR_2025/t
Table 1,2,2027,CO2_CO2eq,1,355,EUR_2025/t
Table 1,2,2027,CH4,0,9790,EUR_2025/t
Table 1,2,2027,CH4,1,6290,EUR_2025/t
Table 1,2,2027,N2O,0,290900,EUR_2025/t
Table 1,2,2027,N2O,1,123900,EUR_2025/t
Table 1,2,2028,CO2_CO2eq,0,1020,EUR_2025/t
Table 1,2,2028,CO2_CO2eq,1,365,EUR_2025/t
Table 1,2,2028,CH4,0,10080,EUR_2025/t
Table 1,2,2028,CH4,1,6530,EUR_2025/t
Table 1,2,2028,N2O,0,295200,EUR_2025/t
Table 1,2,2028,N2O,1,126500,EUR_2025/t
Table 1,2,2029,CO2_CO2eq,0,1040,EUR_2025/t
Table 1,2,2029,CO2_CO2eq,1,370,EUR_2025/t
Table 1,2,2029,CH4,0,10370,EUR_2025/t
Table 1,2,2029,CH4,1,6780,EUR_2025/t
Table 1,2,2029,N2O,0,299500,EUR_2025/t
Table 1,2,2029,N2O,1,129100,EUR_2025/t
Table 1,2,2030,CO2_CO2eq,0,1050,EUR_2025/t
Table 1,2,2030,CO2_CO2eq,1,375,EUR_2025/t
Table 1,2,2030,CH4,0,10660,EUR_2025/t
Table 1,2,2030,CH4,1,7020,EUR_2025/t
Table 1,2,2030,N2O,0,303800,EUR_2025/t
Table 1,2,2030,N2O,1,131700,EUR_2025/t
Table 1,2,2040,CO2_CO2eq,0,1150,EUR_2025/t
Table 1,2,2040,CO2_CO2eq,1,440,EUR_2025/t
Table 1,2,2040,CH4,0,14200,EUR_2025/t
Table 1,2,2040,CH4,1,9950,EUR_2025/t
Table 1,2,2040,N2O,0,339900,EUR_2025/t
Table 1,2,2040,N2O,1,154500,EUR_2025/t
Table 1,2,2050,CO2_CO2eq,0,1240,EUR_2025/t
Table 1,2,2050,CO2_CO2eq,1,485,EUR_2025/t
Table 1,2,2050,CH4,0,16580,EUR_2025/t
Table 1,2,2050,CH4,1,12100,EUR_2025/t
Table 1,2,2050,N2O,0,355400,EUR_2025/t
Table 1,2,2050,N2O,1,167800,EUR_2025/t
