source_table,chapter,context,sector,surroundings,emission_height_m,substance,impact_component,value_factor,unit
Table 2,3,unknown_source,,,,PM2.5,health,128200,EUR_2025/t
Table 2,3,unknown_source,,,,PM2.5,crop,0,EUR_2025/t
Table 2,3,unknown_source,,,,PM2.5,material_building,0,EUR_2025/t
Table 2,3,unknown_source,,,,PM2.5,total,128200,EUR_2025/t
Table 2,3,unknown_source,,,,PMcoarse,health,1690,EUR_2025/t
Table 2,3,unknown_source,,,,PMcoarse,crop,0,EUR_2025/t
Table 2,3,unknown_source,,,,PMcoarse,material_building,0,EUR_2025/t
Table 2,3,unknown_source,,,,PMcoarse,total,1690,EUR_2025/t
Table 2,3,unknown_source,,,,PM10,health,90200,EUR_2025/t
Table 2,3,unknown_source,,,,PM10,crop,0,EUR_2025/t
Table 2,3,unknown_source,,,,PM10,material_building,0,EUR_2025/t
Table 2,3,unknown_source,,,,PM10,total,90200,EUR_2025/t
Table 2,3,unknown_source,,,,NOx,health,36000,EUR_2025/t
Table 2,3,unknown_source,,,,NOx,crop,1530,EUR_2025/t
Table 2,3,unknown_source,,,,NOx,material_building,210,EUR_2025/t
Table 2,3,unknown_source,,,,NOx,total,37740,EUR_2025/t
Table 2,3,unknown_source,,,,SO2,health,34500,EUR_2025/t
Table 2,3,unknown_source,,,,SO2,crop,-140,EUR_2025/t
Table 2,3,unknown_source,,,,SO2,material_building,965,EUR_2025/t
Table 2,3,unknown_source,,,,SO2,total,35325,EUR_2025/t
Table 2,3,unknown_source,,,,NMVOC,health,525,EUR_2025/t
Table 2,3,unknown_source,,,,NMVOC,crop,1450,EUR_2025/t
Table 2,3,unknown_source,,,,NMVOC,material_building,0,EUR_2025/t
Table 2,3,unknown_source,,,,NMVOC,total,1975,EUR_2025/t
Table 2,3,unknown_source,,,,NH3,health,30400,EUR_2025/t
Table 2,3,unknown_source,,,,NH3,crop,-125,EUR_2025/t
Table 2,3,unknown_source,,,,NH3,material_building,0,EUR_2025/t
Table 2,3,unknown_source,,,,NH3,total,30275,EUR_2025/t
Table 3,3,stationary_combustion,power_station,unspecified,>100,PM2.5,health,66900,EUR_2025/t
Table 3,3,stationary_combustion,power_station,unspecified,>100,PMcoarse,health,745,EUR_2025/t
Table 3,3,stationary_combustion,power_station,unspecified,>100,PM10,health,47000,EUR_2025/t
Table 3,3,stationary_combustion,power_station,unspecified,>100,NOx,health,28800,EUR_2025/t
Table 3,3,stationary_combustion,power_station,unspecified,>100,SO2,health,31800,EUR_2025/t
Table 3,3,stationary_combustion,power_station,unspecified,>100,NMVOC,health,530,EUR_2025/t
Table 3,3,stationary_combustion,power_station,unspecified,>100,NH3,health,33300,EUR_2025/t
Table 3,3,stationary_combustion,industry,unknown,0-100,PM2.5,health,137400,EUR_2025/t
Table 3,3,stationary_combustion,industry,unknown,0-100,PMcoarse,health,1870,EUR_2025/t
Table 3,3,stationary_combustion,industry,unknown,0-100,PM10,health,96700,EUR_2025/t
Table 3,3,stationary_combustion,industry,unknown,0-100,NOx,health,38100,EUR_2025/t
Table 3,3,stationary_combustion,industry,unknown,0-100,SO2,health,35600,EUR_2025/t
Table 3,3,stationary_combustion,industry,unknown,0-100,NMVOC,health,535,EUR_2025/t
Table 3,3,stationary_combustion,industry,unknown,0-100,NH3,health,33200,EUR_2025/t
Table 3,3,stationary_combustion,industry,city,0-20,PM2.5,health,245900,EUR_2025/t
Table 3,3,stationary_combustion,industry,city,0-20,PMcoarse,health,3350,EUR_2025/t
Table 3,3,stationary_combustion,industry,city,0-20,PM10,health,173100,EUR_2025/t
Table 3,3,stationary_combustion,industry,city,0-20,NOx,health,38100,EUR_2025/t
Table 3,3,stationary_combustion,industry,city,0-20,SO2,health,35600,EUR_2025/t
Table 3,3,stationary_combustion,industry,city,0-20,NMVOC,health,535,EUR_2025/t
Table 3,3,stationary_combustion,industry,city,0-20,NH3,health,33200,EUR_2025/t
