source_table,chapter,energy_source,component,prtp_pct,value_factor,unit
Table 5,4,German_electricity_mix_2024,air_pollutants,,2.23,EUR-cent_2025/kWh_el
Table 5,4,German_electricity_mix_2024,greenhouse_gases,1,11.56,EUR-cent_2025/kWh_el
Table 5,4,German_electricity_mix_2024,greenhouse_gases,0,32.53,EUR-cent_2025/kWh_el
Table 5,4,German_electricity_mix_2024,total_env_impacts,1,13.79,EUR-cent_2025/kWh_el
Table 5,4,German_electricity_mix_2024,total_env_impacts,0,34.76,EUR-cent_2025/kWh_el
Table 5,4,Lignite,air_pollutants,,3.93,EUR-cent_2025/kWh_el
Table 5,4,Lignite,greenhouse_gases,1,35.89,EUR-cent_2025/kWh_el
Table 5,4,Lignite,greenhouse_gases,0,103.34,EUR-cent_2025/kWh_el
Table 5,4,Lignite,total_env_impacts,1,39.82,EUR-cent_2025/kWh_el
Table 5,4,Lignite,total_env_impacts,0,107.27,EUR-cent_2025/kWh_el
Table 5,4,Hard_coal,air_pollutants,,4.82,EUR-cent_2025/kWh_el
Table 5,4,Hard_coal,greenhouse_gases,1,29.08,EUR-cent_2025/kWh_el
Table 5,4,Hard_coal,greenhouse_gases,0,82.26,EUR-cent_2025/kWh_el
Table 5,4,Hard_coal,total_env_impacts,1,33.9,EUR-cent_2025/kWh_el
Table 5,4,Hard_coal,total_env_impacts,0,87.09,EUR-cent_2025/kWh_el
Table 5,4,Natural_gas,air_pollutants,,1.18,EUR-cent_2025/kWh_el
Table 5,4,Natural_gas,greenhouse_gases,1,14.72,EUR-cent_2025/kWh_el
Table 5,4,Natural_gas,greenhouse_gases,0,41.23,EUR-cent_2025/kWh_el
Table 5,4,Natural_gas,total_env_impacts,1,15.9,EUR-cent_2025/kWh_el
Table 5,4,Natural_gas,total_env_impacts,0,42.41,EUR-cent_2025/kWh_el
Table 5,4,Oil,air_pollutants,,8.94,EUR-cent_2025/kWh_el
Table 5,4,Oil,greenhouse_gases,1,28.91,EUR-cent_2025/kWh_el
Table 5,4,Oil,greenhouse_gases,0,83.06,EUR-cent_2025/kWh_el
Table 5,4,Oil,total_env_impacts,1,37.85,EUR-cent_2025/kWh_el
Table 5,4,Oil,total_env_impacts,0,92.0,EUR-cent_2025/kWh_el
Table 5,4,Biomass,air_pollutants,,8.08,EUR-cent_2025/kWh_el
Table 5,4,Biomass,greenhouse_gases,1,7.45,EUR-cent_2025/kWh_el
Table 5,4,Biomass,greenhouse_gases,0,16.48,EUR-cent_2025/kWh_el
Table 5,4,Biomass,total_env_impacts,1,15.54,EUR-cent_2025/kWh_el
Table 5,4,Biomass,total_env_impacts,0,24.56,EUR-cent_2025/kWh_el
Table 5,4,Photovoltaics,air_pollutants,,0.82,EUR-cent_2025/kWh_el
Table 5,4,Photovoltaics,greenhouse_gases,1,1.9,EUR-cent_2025/kWh_el
Table 5,4,Photovoltaics,greenhouse_gases,0,5.36,EUR-cent_2025/kWh_el
Table 5,4,Photovoltaics,total_env_impacts,1,2.72,EUR-cent_2025/kWh_el
Table 5,4,Photovoltaics,total_env_impacts,0,6.18,EUR-cent_2025/kWh_el
Table 5,4,Hydropower,air_pollutants,,0.08,EUR-cent_2025/kWh_el
Table 5,4,Hydropower,greenhouse_gases,1,0.13,EUR-cent_2025/kWh_el
Table 5,4,Hydropower,greenhouse_gases,0,0.36,EUR-cent_2025/kWh_el
Table 5,4,Hydropower,total_env_impacts,1,0.21,EUR-cent_2025/kWh_el
Table 5,4,Hydropower,total_env_impacts,0,0.43,EUR-cent_2025/kWh_el
Table 5,4,Wind_energy,air_pollutants,,0.37,EUR-cent_2025/kWh_el
Table 5,4,Wind_energy,greenhouse_gases,1,0.56,EUR-cent_2025/kWh_el
Table 5,4,Wind_energy,greenhouse_gases,0,1.58,EUR-cent_2025/kWh_el
Table 5,4,Wind_energy,total_env_impacts,1,0.93,EUR-cent_2025/kWh_el
Table 5,4,Wind_energy,total_env_impacts,0,1.95,EUR-cent_2025/kWh_el
