source_table,chapter,energy_source,component,prtp_pct,value_factor,unit
Table 6,4,Heating_oil,air_pollutants,,1.51,EUR-cent_2025/kWh_final_energy
Table 6,4,Heating_oil,greenhouse_gases,1,10.73,EUR-cent_2025/kWh_final_energy
Table 6,4,Heating_oil,greenhouse_gases,0,30.88,EUR-cent_2025/kWh_final_energy
Table 6,4,Heating_oil,total_env_impacts,1,12.24,EUR-cent_2025/kWh_final_energy
Table 6,4,Heating_oil,total_env_impacts,0,32.39,EUR-cent_2025/kWh_final_energy
Table 6,4,Natural_gas,air_pollutants,,0.65,EUR-cent_2025/kWh_final_energy
Table 6,4,Natural_gas,greenhouse_gases,1,8.07,EUR-cent_2025/kWh_final_energy
Table 6,4,Natural_gas,greenhouse_gases,0,22.69,EUR-cent_2025/kWh_final_energy
Table 6,4,Natural_gas,total_env_impacts,1,8.72,EUR-cent_2025/kWh_final_energy
Table 6,4,Natural_gas,total_env_impacts,0,23.34,EUR-cent_2025/kWh_final_energy
Table 6,4,Lignite_briquette,air_pollutants,,12.17,EUR-cent_2025/kWh_final_energy
Table 6,4,Lignite_briquette,greenhouse_gases,1,15.04,EUR-cent_2025/kWh_final_energy
Table 6,4,Lignite_briquette,greenhouse_gases,0,42.55,EUR-cent_2025/kWh_final_energy
Table 6,4,Lignite_briquette,total_env_impacts,1,27.21,EUR-cent_2025/kWh_final_energy
Table 6,4,Lignite_briquette,total_env_impacts,0,54.72,EUR-cent_2025/kWh_final_energy
Table 6,4,District_heating_with_grid_losses,air_pollutants,,1.78,EUR-cent_2025/kWh_final_energy
Table 6,4,District_heating_with_grid_losses,greenhouse_gases,1,9.82,EUR-cent_2025/kWh_final_energy
Table 6,4,District_heating_with_grid_losses,greenhouse_gases,0,27.62,EUR-cent_2025/kWh_final_energy
Table 6,4,District_heating_with_grid_losses,total_env_impacts,1,11.6,EUR-cent_2025/kWh_final_energy
Table 6,4,District_heating_with_grid_losses,total_env_impacts,0,29.4,EUR-cent_2025/kWh_final_energy
Table 6,4,Electricity_heating_with_grid_losses,air_pollutants,,2.85,EUR-cent_2025/kWh_final_energy
Table 6,4,Electricity_heating_with_grid_losses,greenhouse_gases,1,16.42,EUR-cent_2025/kWh_final_energy
Table 6,4,Electricity_heating_with_grid_losses,greenhouse_gases,0,46.6,EUR-cent_2025/kWh_final_energy
Table 6,4,Electricity_heating_with_grid_losses,total_env_impacts,1,19.26,EUR-cent_2025/kWh_final_energy
Table 6,4,Electricity_heating_with_grid_losses,total_env_impacts,0,49.45,EUR-cent_2025/kWh_final_energy
Table 6,4,Solar_thermal,air_pollutants,,0.45,EUR-cent_2025/kWh_final_energy
Table 6,4,Solar_thermal,greenhouse_gases,1,0.75,EUR-cent_2025/kWh_final_energy
Table 6,4,Solar_thermal,greenhouse_gases,0,2.12,EUR-cent_2025/kWh_final_energy
Table 6,4,Solar_thermal,total_env_impacts,1,1.2,EUR-cent_2025/kWh_final_energy
Table 6,4,Solar_thermal,total_env_impacts,0,2.57,EUR-cent_2025/kWh_final_energy
Table 6,4,Surface_geothermal_and_ambient_heat,air_pollutants,,1.31,EUR-cent_2025/kWh_final_energy
Table 6,4,Surface_geothermal_and_ambient_heat,greenhouse_gases,1,5.5,EUR-cent_2025/kWh_final_energy
Table 6,4,Surface_geothermal_and_ambient_heat,greenhouse_gases,0,15.6,EUR-cent_2025/kWh_final_energy
Table 6,4,Surface_geothermal_and_ambient_heat,total_env_impacts,1,6.81,EUR-cent_2025/kWh_final_energy
Table 6,4,Surface_geothermal_and_ambient_heat,total_env_impacts,0,16.91,EUR-cent_2025/kWh_final_energy
Table 6,4,Deep_geothermal,air_pollutants,,0.28,EUR-cent_2025/kWh_final_energy
Table 6,4,Deep_geothermal,greenhouse_gases,1,1.18,EUR-cent_2025/kWh_final_energy
Table 6,4,Deep_geothermal,greenhouse_gases,0,3.36,EUR-cent_2025/kWh_final_energy
Table 6,4,Deep_geothermal,total_env_impacts,1,1.47,EUR-cent_2025/kWh_final_energy
Table 6,4,Deep_geothermal,total_env_impacts,0,3.64,EUR-cent_2025/kWh_final_energy
Table 6,4,Biomass,air_pollutants,,4.01,EUR-cent_2025/kWh_final_energy
Table 6,4,Biomass,greenhouse_gases,1,1.2,EUR-cent_2025/kWh_final_energy
Table 6,4,Biomass,greenhouse_gases,0,2.83,EUR-cent_2025/kWh_final_energy
Table 6,4,Biomass,total_env_impacts,1,5.22,EUR-cent_2025/kWh_final_energy
Table 6,4,Biomass,total_env_impacts,0,6.85,EUR-cent_2025/kWh_final_energy
