source_table,chapter,route_type,prtp_pct,vehicle_category,specification,ghg,air_pollutants_exhaust,air_pollutants_abrasion,infra_and_vehicles,energy_supply,total,noise_included,unit
Table 9,5,all_routes,0,Car,Petrol,16.09,0.46,0.2,8.0,6.15,30.91,no,EUR-cent_2025/vehicle_km
Table 9,5,all_routes,0,Car,Diesel,17.48,2.4,0.2,8.2,4.9,33.18,no,EUR-cent_2025/vehicle_km
Table 9,5,all_routes,0,Car,Electric,0.0,0.0,0.2,12.35,9.24,21.79,no,EUR-cent_2025/vehicle_km
Table 9,5,all_routes,0,Small_motorcycle,Diesel,6.21,3.16,0.07,3.49,2.44,15.38,no,EUR-cent_2025/vehicle_km
Table 9,5,all_routes,0,Motorcycle,Petrol,12.38,0.71,0.07,5.31,4.36,22.83,no,EUR-cent_2025/vehicle_km
Table 9,5,all_routes,0,LCV,Diesel,24.4,3.39,0.2,9.16,7.44,44.59,no,EUR-cent_2025/vehicle_km
Table 9,5,all_routes,0,LCV,Petrol,18.46,0.77,0.2,9.16,7.06,35.65,no,EUR-cent_2025/vehicle_km
Table 9,5,all_routes,0,LCV,Electric,0.0,0.0,0.2,14.15,12.05,26.4,no,EUR-cent_2025/vehicle_km
Table 9,5,all_routes,0,HGV_<7.5t,Diesel,37.07,5.69,1.08,9.16,7.44,60.43,no,EUR-cent_2025/vehicle_km
Table 9,5,all_routes,0,HGV_7.5-14t,Diesel,41.9,5.52,1.08,12.37,9.96,70.83,no,EUR-cent_2025/vehicle_km
Table 9,5,all_routes,0,HGV_14-28t,Diesel,62.87,6.81,1.08,32.49,22.37,125.61,no,EUR-cent_2025/vehicle_km
Table 9,5,all_routes,0,HGV_28-40t,Diesel,82.83,4.78,1.08,54.5,24.9,168.09,no,EUR-cent_2025/vehicle_km
Table 9,5,all_routes,0,Public_bus,Diesel,97.65,14.57,2.05,26.22,33.25,173.74,no,EUR-cent_2025/vehicle_km
Table 9,5,all_routes,0,Coach,Diesel,68.82,9.39,1.24,26.01,22.39,127.84,no,EUR-cent_2025/vehicle_km
Table 9,5,all_routes,0,Passenger_train_LD,Electric,0.0,0.0,6.24,175.32,827.05,1008.6,no,EUR-cent_2025/vehicle_km
Table 9,5,all_routes,0,Passenger_train_LT,Weighted_av.,52.69,20.71,3.15,48.36,338.8,463.72,no,EUR-cent_2025/vehicle_km
