source_table,chapter,vehicle_category,specification,unit,passengers_per_vehicle,tonnes_per_vehicle,total_env_impacts_1pct_prtp,total_env_impacts_0pct_prtp,noise_included
Table 17,5,Car,,,1.4,,,,
Table 17,5,Small_motorcycle,,,1.0,,,,
Table 17,5,Motorcycle,,,1.4,,,,
Table 17,5,Public_bus,,,12.9,,,,
Table 17,5,Coach,,,24.9,,,,
Table 17,5,Passenger_train_LD,,,261.0,,,,
Table 17,5,Passenger_train_LT,,,72.0,,,,
Table 17,5,Passenger_air_SM,,,124.0,,,,
Table 17,5,Passenger_air_LH,,,199.0,,,,
Table 17,5,LCV,,,,0.4,,,
Table 17,5,HGV_<7.5t,,,,0.92,,,
Table 17,5,HGV_7.4-14t,,,,1.59,,,
Table 17,5,HGV_14-28t,,,,3.39,,,
Table 17,5,HGV_28-40t_trailer,,,,10.03,,,
Table 17,5,Freight_train,,,,560.0,,,
Table 17,5,Freight_air,,,,52.82,,,
Table 17,5,Inland_waterways_motor_vessel,,,,938.0,,,
Table 17,5,Inland_waterways_water_craft_assembly,,,,1902.0,,,
Table 18,5,Car,Petrol,EUR-cent_2025/Pkm,,,8.93,22.09,no
Table 18,5,Car,Diesel,EUR-cent_2025/Pkm,,,10.31,23.72,no
Table 18,5,Car,Electric,EUR-cent_2025/Pkm,,,7.43,15.57,no
Table 18,5,Small_motorcycle,Diesel,EUR-cent_2025/Pkm,,,8.57,16.19,no
Table 18,5,Motorcycle,Petrol,EUR-cent_2025/Pkm,,,6.74,16.3,no
Table 18,5,Public_bus,Diesel,EUR-cent_2025/Pkm,,,5.88,13.47,no
Table 18,5,Coach,Diesel,EUR-cent_2025/Pkm,,,4.32,9.91,no
Table 18,5,Passenger_train_LD,Electric,EUR-cent_2025/Pkm,,,1.56,3.86,no
Table 18,5,Passenger_train_LT,Weighted_av.,EUR-cent_2025/Pkm,,,2.75,6.44,no
Table 18,5,Passenger_air_SM,Short_medium_haul,EUR-cent_2025/Pkm,,,7.81,18.55,no
Table 18,5,Passenger_air_LH,Long_haul,EUR-cent_2025/Pkm,,,9.04,22.16,no
Table 18,5,HGV_<7.5t,Diesel,EUR-cent_2025/tkm,,,29.32,65.62,no
Table 18,5,HGV_7.5-14t,Diesel,EUR-cent_2025/tkm,,,19.59,44.66,no
Table 18,5,HGV_14-28t,Diesel,EUR-cent_2025/tkm,,,15.99,37.01,no
Table 18,5,HGV_28-40t,Diesel,EUR-cent_2025/tkm,,,7.0,16.76,no
Table 18,5,Freight_train,Weighted_av.,EUR-cent_2025/tkm,,,1.03,2.41,no
Table 18,5,Freight_air,Weighted_av.,EUR-cent_2025/tkm,,,52.32,127.04,no
Table 18,5,Inland_dry_cargo_vessel,National,EUR-cent_2025/tkm,,,2.68,4.84,no
Table 18,5,Inland_tank_vessel,National,EUR-cent_2025/tkm,,,3.76,6.71,no
Table 18,5,Inland_pushed_convoy,National,EUR-cent_2025/tkm,,,2.58,4.52,no
