source_table,chapter,impact_type,dba_class_LDEN,transport_mode,value_factor,unit
Table 19,5,annoyance_excl_sleep_disturbance,45-49,road,118,EUR_2025/person/year
Table 19,5,annoyance_excl_sleep_disturbance,45-49,rail,66.45,EUR_2025/person/year
Table 19,5,annoyance_excl_sleep_disturbance,45-49,air,187,EUR_2025/person/year
Table 19,5,annoyance_excl_sleep_disturbance,50-54,road,138,EUR_2025/person/year
Table 19,5,annoyance_excl_sleep_disturbance,50-54,rail,123,EUR_2025/person/year
Table 19,5,annoyance_excl_sleep_disturbance,50-54,air,315,EUR_2025/person/year
Table 19,5,annoyance_excl_sleep_disturbance,55-59,road,183,EUR_2025/person/year
Table 19,5,annoyance_excl_sleep_disturbance,55-59,rail,200,EUR_2025/person/year
Table 19,5,annoyance_excl_sleep_disturbance,55-59,air,447,EUR_2025/person/year
Table 19,5,annoyance_excl_sleep_disturbance,60-64,road,253,EUR_2025/person/year
Table 19,5,annoyance_excl_sleep_disturbance,60-64,rail,299,EUR_2025/person/year
Table 19,5,annoyance_excl_sleep_disturbance,60-64,air,585,EUR_2025/person/year
Table 19,5,annoyance_excl_sleep_disturbance,65-69,road,348,EUR_2025/person/year
Table 19,5,annoyance_excl_sleep_disturbance,65-69,rail,418,EUR_2025/person/year
Table 19,5,annoyance_excl_sleep_disturbance,65-69,air,728,EUR_2025/person/year
Table 19,5,annoyance_excl_sleep_disturbance,70-74,road,469,EUR_2025/person/year
Table 19,5,annoyance_excl_sleep_disturbance,70-74,rail,558,EUR_2025/person/year
Table 19,5,annoyance_excl_sleep_disturbance,70-74,air,877,EUR_2025/person/year
Table 19,5,annoyance_excl_sleep_disturbance,>=75,road,615,EUR_2025/person/year
Table 19,5,annoyance_excl_sleep_disturbance,>=75,rail,720,EUR_2025/person/year
Table 19,5,annoyance_excl_sleep_disturbance,>=75,air,1031,EUR_2025/person/year
Table 20,5,cognitive_impairment_children,45-49,road,,EUR_2025/person/year
Table 20,5,cognitive_impairment_children,45-49,rail,,EUR_2025/person/year
Table 20,5,cognitive_impairment_children,45-49,air,,EUR_2025/person/year
Table 20,5,cognitive_impairment_children,50-54,road,2.14,EUR_2025/person/year
Table 20,5,cognitive_impairment_children,50-54,rail,2.14,EUR_2025/person/year
Table 20,5,cognitive_impairment_children,50-54,air,2.14,EUR_2025/person/year
Table 20,5,cognitive_impairment_children,55-59,road,13.55,EUR_2025/person/year
Table 20,5,cognitive_impairment_children,55-59,rail,13.55,EUR_2025/person/year
Table 20,5,cognitive_impairment_children,55-59,air,13.55,EUR_2025/person/year
Table 20,5,cognitive_impairment_children,60-64,road,34.08,EUR_2025/person/year
Table 20,5,cognitive_impairment_children,60-64,rail,34.08,EUR_2025/person/year
Table 20,5,cognitive_impairment_children,60-64,air,34.08,EUR_2025/person/year
Table 20,5,cognitive_impairment_children,65-69,road,54.61,EUR_2025/person/year
Table 20,5,cognitive_impairment_children,65-69,rail,54.61,EUR_2025/person/year
Table 20,5,cognitive_impairment_children,65-69,air,54.61,EUR_2025/person/year
Table 20,5,cognitive_impairment_children,70-74,road,75.14,EUR_2025/person/year
Table 20,5,cognitive_impairment_children,70-74,rail,75.14,EUR_2025/person/year
Table 20,5,cognitive_impairment_children,70-74,air,75.14,EUR_2025/person/year
Table 20,5,cognitive_impairment_children,>=75,road,95.67,EUR_2025/person/year
Table 20,5,cognitive_impairment_children,>=75,rail,95.67,EUR_2025/person/year
Table 20,5,cognitive_impairment_children,>=75,air,95.67,EUR_2025/person/year
